name,sales,retail_price,average_sale_price,highest_price,lowest_price,release_date,condition
Jordan 11 Retro Low Closing Ceremony, 1248, 170, 197, 375, 120, 08/27/2016, New
Jordan 4 Retro Flight Nostalgia (GS), 1104, 140, 132, 199, 86, 03/02/2019, New
Jordan 7 Retro Hare (2015), 998, 190, 195, 319, 120, 05/16/2015, New
Jordan 6 Retro Diffused Blue, 821, 190, 174, 515, 111, 12/22/2018, New
Jordan 8 Retro Reflections of a Champion, 572, 225, 203, 375, 136, 06/08/2019, New
Jordan 1 Retro High Sports Illustrated (A Star Is Born) (GS), 5652, 120, 157, 249, 98, 12/27/2018, New
Jordan 11 Retro Concord 2018 (GS), 4527, 170, 187, 249, 125, 12/08/2018, New
Jordan 1 Mid Team Orange Black, 2929, 120, 147, 225, 40, 12/18/2018, New
Jordan 14 Retro Last Shot (2018), 1871, 190, 180, 269, 80, 06/14/2018, New
Jordan 1 Retro High Spider-Man Origin Story (TD), 1756, 50, 74, 150, 50, 12/14/2018, New
Jordan XXXIII Future of Flight, 1651, 175, 193, 450, 121, 10/18/2018, New
Jordan 4 Retro Hot Punch (W), 1455, 190, 165, 250, 101, 01/19/2018, New
Jordan 11 Retro Low Bred, 892, 170, 282, 435, 190, 05/23/2015, New
Jordan 5 Retro Blue Suede, 870, 190, 185, 299, 60, 09/30/2017, New
Jordan 12 Retro Black Metallic Gold White (W), 584, 190, 194, 319, 90, 05/17/2019, New
Jordan 12 Retro Taxi (2013), 553, 170, 343, 800, 186, 12/14/2013, New
Jordan Proto Max 720 Gym Red Black, 407, 200, 159, 304, 85, 03/21/2019, New
Jordan 1 Retro High Twist (Special Box) (W), 254, 160, 176, 270, 129, 05/02/2019, New
Jordan Legacy 312 Desert Camo (GS), 117, 110, 102, 150, 65, 01/01/2019, New
Jordan 1 Mid Pine Green, 4827, 120, 142, 250, 66, 12/18/2018, New
Jordan 10 Retro Orlando, 2645, 190, 142, 270, 98, 12/01/2018, New
Jordan 1 Retro Black Toe (2016), 1283, 160, 496, 870, 200, 11/05/2016, New
Jordan 6 Retro Maroon (2015), 1200, 220, 204, 360, 100, 12/05/2015, New
Jordan 6 Retro Wheat, 1181, 190, 139, 349, 99, 11/24/2017, New
Jordan 8 Retro Aqua (2015), 1145, 190, 208, 310, 75, 11/27/2015, New
Jordan 13 Retro OG Chicago (2017), 1120, 190, 186, 249, 110, 02/18/2017, New
Jordan 6 Retro Carmine (2014), 1113, 170, 274, 450, 170, 05/24/2014, New
Jordan 11 Retro Low Cherry (2016), 953, 170, 228, 314, 157, 06/04/2016, New
Jordan 4 Retro Oreo (2015), 896, 190, 209, 400, 140, 02/21/2015, New
Jordan 1 Mid Triple Black (2018), 848, 110, 75, 160, 46, 03/16/2018, New
Jordan Legacy 312 Low Bred Cement, 580, 140, 129, 250, 72, 01/03/2019, New
Jordan 1 Low White Black Mystic Green, 581, 90, 92, 183, 60, 04/24/2019, New
Jordan 8 Retro Quai54 (2019), 166, 190, 246, 421, 173, 06/15/2019, New
Jordan 1 Retro High Spider-Man Origin Story (GS), 9431, 120, 222, 425, 146, 12/14/2018, New
Jordan 5 Retro Wings, 4786, 200, 294, 699, 190, 09/29/2018, New
Jordan 1 Mid Bred Multi-Color, 3553, 110, 138, 300, 79, 01/16/2019, New
Jordan 4 Retro Pure Money (2017), 1755, 190, 244, 550, 130, 05/13/2017, New
Jordan 1 Retro High Wheat, 1452, 160, 101, 248, 52, 11/25/2017, New
Jordan 1 Retro All Star 2017 Chameleon, 1300, 175, 305, 600, 140, 02/19/2017, New
Jordan 7 Retro Bordeaux (2015), 1048, 190, 227, 309, 160, 07/18/2015, New
Jordan 12 Retro The Master, 945, 190, 283, 395, 226, 02/27/2016, New
Jordan 1 Retro Royal 2017 (GS), 876, 120, 216, 315, 132, 04/01/2017, New
Jordan 5 Retro White Cement, 732, 190, 208, 410, 80, 08/05/2017, New
Jordan 1 Mid Infrared 23, 712, 110, 105, 170, 56, 12/13/2018, New
Jordan 11 Retro Low Midnight Navy, 636, 170, 205, 285, 135, 06/04/2016, New
Jordan 14 Retro Black Toe (2014), 374, 170, 256, 350, 150, 09/20/2014, New
Jordan 14 Retro Rip Hamilton (GS), 284, 140, 149, 199, 70, 04/06/2019, New
Jordan 5 Retro International Flight (GS), 258, 140, 108, 220, 75, 08/25/2018, New
Jordan 1 Mid White Topaz Mist (GS), 201, 90, 98, 149, 46, 04/01/2019, New
Jordan 1 Mid White Black Gym Red (GS), 170, 90, 93, 128, 64, , New
